"method","path","file","line","data_or_resource","sensitivity","effect","current_guard","current_role_enforcement","recommended_min_role","proposed_capability","audit_requirement","confirmation_or_idempotency"
"GET","/api/admin/crm/tasks/:id/activity","server/routes/adminTasks.ts","1327","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","read","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","viewer","crm.read","read access log only for sensitive Sentry payloads","none"
"PATCH","/api/admin/crm/tasks/:id","server/routes/adminTasks.ts","1364","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"PATCH","/api/admin/crm/tasks/:id/move","server/routes/adminTasks.ts","1488","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"DELETE","/api/admin/crm/tasks/:id","server/routes/adminTasks.ts","1624","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"POST","/api/admin/crm/labels","server/routes/adminTasks.ts","1656","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"PATCH","/api/admin/crm/labels/:id","server/routes/adminTasks.ts","1708","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"DELETE","/api/admin/crm/labels/:id","server/routes/adminTasks.ts","1749","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"POST","/api/admin/crm/tasks/:id/labels","server/routes/adminTasks.ts","1777","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"DELETE","/api/admin/crm/tasks/:id/labels/:labelId","server/routes/adminTasks.ts","1827","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"POST","/api/admin/crm/tasks/:id/comments","server/routes/adminTasks.ts","1873","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"PATCH","/api/admin/crm/comments/:id","server/routes/adminTasks.ts","1909","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"DELETE","/api/admin/crm/comments/:id","server/routes/adminTasks.ts","1952","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"POST","/api/admin/crm/tasks/:id/checklist","server/routes/adminTasks.ts","1991","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"PATCH","/api/admin/crm/checklist/:id","server/routes/adminTasks.ts","2028","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"DELETE","/api/admin/crm/checklist/:id","server/routes/adminTasks.ts","2059","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"PATCH","/api/admin/crm/tasks/:id/checklist/reorder","server/routes/adminTasks.ts","2087","admin task boards, columns, tasks, labels, comments, checklist and activity","internal operations, assignees and Sentry metadata","mutate","inherited requireAuth + requireAdmin","all admin_roles rows; role ignored","editor","crm.write","required; actor columns/activity exist but no unified immutable audit","optimistic concurrency or idempotency according to action; confirm destructive delete"
"GET","/api/vagas/admin","server/routes/vagas.ts","238","manual external_jobs records","public job content and author ID","read","validateSupabaseJwt + route requireAdmin","all admin_roles rows; role ignored","viewer","jobs.read","not required","none"
"POST","/api/vagas/admin","server/routes/vagas.ts","442","manual external_jobs records","public job content and author ID","mutate","validateSupabaseJwt + route requireAdmin","all admin_roles rows; role ignored","editor","jobs.write","required; created_by exists but no immutable audit","optimistic concurrency for patch; confirm publication changes"
"PATCH","/api/vagas/admin/:id","server/routes/vagas.ts","489","manual external_jobs records","public job content and author ID","mutate","validateSupabaseJwt + route requireAdmin","all admin_roles rows; role ignored","editor","jobs.write","required; created_by exists but no immutable audit","optimistic concurrency for patch; confirm publication changes"
